[2025-03-04 22:33:46.601]	     | Already up to date.
[2025-03-04 22:33:46.612]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2025-03-04 22:33:46.660]	 Done.

[2025-03-04 22:34:31.843]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2025-03-04 22:34:31.854]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2025-03-04 22:34:31.904]	 Already installed "tmux-cpu"
[2025-03-04 22:34:31.904]	 Already installed "tmux-yank"
[2025-03-04 22:34:31.914]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2025-03-04 22:34:31.935]	 Updating all plugins!
[2025-03-04 22:34:31.935]	 
[2025-03-04 22:34:33.335]	   "tmux-yank" update success
[2025-03-04 22:34:33.337]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-03-04 22:34:33.337]	     | Already up to date.
[2025-03-04 22:34:33.378]	   "tmux-cpu" update success
[2025-03-04 22:34:33.380]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-03-04 22:34:33.380]	     | Already up to date.
[2025-03-04 22:34:33.390]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2025-03-04 22:34:33.440]	 Done.

[2025-03-04 22:35:30.085]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2025-03-04 22:35:30.095]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2025-03-04 22:35:30.146]	 Already installed "tmux-yank"
[2025-03-04 22:35:30.147]	 Already installed "tmux-cpu"
[2025-03-04 22:35:30.156]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2025-03-04 22:35:30.178]	 Updating all plugins!
[2025-03-04 22:35:30.178]	 
[2025-03-04 22:35:31.692]	   "tmux-cpu" update success
[2025-03-04 22:35:31.694]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-03-04 22:35:31.694]	     | Already up to date.
[2025-03-04 22:35:31.787]	   "tmux-yank" update success
[2025-03-04 22:35:31.790]	     | fatal: unable to get credential storage lock in 1000 ms: File exists
[2025-03-04 22:35:31.790]	     | Already up to date.
